rowid,profId,univId,profDept,Class,Easiness,Helpfulness,Clarity,RaterInterest
493,158893,825,Economics,macro,1,1,2,1
494,158893,825,Economics,"Macro 101",1,1,2,5
495,158893,825,Economics,"macro 101",1,1,2,2
496,158893,825,Economics,macro,1,1,2,3
497,158893,825,Economics,"int econ",1,2,2,4
498,158893,825,Economics,"intro to macro",1,2,4,2
499,158893,825,Economics,"Intro. to Macro",3,3,3,1
500,158893,825,Economics,"ECON 103",2,1,2,1
501,78210,825,Psychology,"GenPsych 101",3,3,3,4
502,78210,825,Psychology,GenPsych101,2,3,5,4
503,78210,825,Psychology,"Psych 101",4,5,5,4
504,78210,825,Psychology,"Psych 101",4,3,5,4
505,78210,825,Psychology,GenPsych,4,4,4,2
506,78210,825,Psychology,PSYCH101,4,4,4,4
507,78210,825,Psychology,PSYCH101,4,4,4,4
508,78210,825,Psychology,MotEmot,3,3,3,3
509,78210,825,Psychology,PSYCH364,2,3,2,4
510,78210,825,Psychology,psych100,3,3,4,4
511,78210,825,Psychology,Psych101,5,3,4,3
512,78210,825,Psychology,Psych101,4,5,5,4
513,78210,825,Psychology,PSYCH101,5,5,5,4
514,78210,825,Psychology,psych101,3,2,2,4
515,78210,825,Psychology,Psy101,2,5,5,5
516,78210,825,Psychology,psych101,4,5,5,4
517,78210,825,Psychology,Psych101,1,2,3,3
518,78210,825,Psychology,Psych101,3,5,5,4
519,78210,825,Psychology,psych101,3,4,4,3
520,78210,825,Psychology,PSYCHH1,4,5,5,5
521,78210,825,Psychology,psych7,1,5,5,4
522,78210,825,Psychology,PSYCH101,3,5,5,4
523,78210,825,Psychology,Psych101,2,4,4,4
524,78210,825,Psychology,PSYCH101,4,4,5,5
525,78210,825,Psychology,Psych101,3,4,4,4
526,78210,825,Psychology,Psych101,4,5,5,3
527,78210,825,Psychology,psych101,3,4,5,3
528,78210,825,Psychology,psych101,2,5,5,4
529,78210,825,Psychology,psych101,3,5,4,3
530,78210,825,Psychology,Psych830,4,4,5,4
531,78210,825,Psychology,Psych101,4,5,5,4
532,78210,825,Psychology,PSYC101,4,5,5,4
533,78210,825,Psychology,Psych101,4,5,5,3
534,78210,825,Psychology,Psych101,3,5,5,4
